ID;Profissao;Nome;CPF;Idade;Tipo Sanguineo;Fator RH;Especialidade
1;Tratador;Daniel Oscar;123.456.789-10;30;O;+;Felinos;
2;Veterinario;Felipe Godeiro;481.137.889-18;42;AB;+;Felinos;
3;Tratador;Raissa Ferreira;435.291.059-70;24;O;+;Marsupiais;
4;Veterinario;Davi Azevedo;914.069.732-03;25;AB;-;Marsupiais;
5;Tratador;Vitor Carvalho;964.969.023-99;27;A;-;Aves;
6;Veterinario;Pedro Ferreira;593.747.211-04;34;B;+;Aves;
7;Tratador;Guilherme Silva;994.305.611-89;18;AB;+;Tartarugas;
8;Veterinario;Marisa Araujo;800.232.973-28;34;O;-;Repteis;
9;Tratador;Ana Castro;834.063.228-08;53;O;+;Repteis Venenosos;
10;Veterinario; Camila Melo;517.100.147-25;73;O;-;Repteis Venenosos;
11;Tratador;Thaís Costa;497.194.254-82;42;A;+;Repteis;
12;Veterinario;Diego Valenca;327.788.328-07;34;AB;-;Repteis;
13;Tratador;Gabriela Correia;153.956.747-80;35;O;-;Mamiferos pequenos carnivoros;
14;Veterinario;Vinicius Dias;654.363.103-11;21;B;+;Mamiferos pequenos carnivoros;
15;Tratador;Marina Oliveira;478.206.177-30;24;O;+;Roedores;
16;Veterinario;Emilly Rodrigues;334.745.945-83;34;O;+;Roedores;
17;Tratador;Beatriz Damasceno;594.175.979-73;31;B;-;Aves Carniceiras;
18;Veterinario;Luiza Alves ;505.091.045-50;36;A;-;Aves;
19;Tratador;Marcos Alves;276.872.635-45;39;O;-;Anfibios;
20;Veterinario;Bianca Ferreira ;874.511.814-05;62;O;+;Anfibios;
34;Tratador;Horacio Fernandes;131.523.536-76;23;A;-;Peixinho Dourado;
